Index,Date,Net Worth
1,2016-10-28,-191.73
2,2016-10-31,-190.59
3,2016-10-31,-215.94
4,2016-10-31,-213.76
5,2016-11-02,-246.85
6,2016-11-02,217.69000000000003
7,2016-11-10,211.69000000000003
8,2016-11-10,208.71000000000004
9,2016-11-15,2547.51
10,2016-11-16,3012.04
11,2016-11-17,3006.71
12,2016-11-22,3003.73
13,2016-11-28,3002.23
14,2016-11-28,2990.73
15,2016-11-28,3089.08
16,2016-11-30,3091.19
17,2016-11-30,3555.71
18,2016-11-30,3457.36
19,2016-11-30,3458.88
20,2016-12-05,3430.63
21,2016-12-07,3422.55
22,2016-12-07,3432.69
23,2016-12-08,8432.69
24,2016-12-08,7712.6900000000005
25,2016-12-08,2712.6900000000005
26,2016-12-08,2706.7400000000007
27,2016-12-13,3333.810000000001
28,2016-12-15,3311.360000000001
29,2016-12-16,7311.360000000001
30,2016-12-16,10416.79
31,2016-12-16,6416.790000000001
32,2016-12-20,6393.470000000001
33,2016-12-26,6380.600000000001
34,2016-12-26,6350.1100000000015
35,2016-12-26,6341.600000000001
36,2016-12-28,6806.120000000001
37,2016-12-28,6858.700000000001
38,2016-12-30,6806.120000000001
39,2016-12-31,6806.710000000001
40,2016-12-31,6812.920000000001
41,2017-01-01,6822.020000000001
42,2017-01-04,6842.020000000001
43,2017-01-09,6841.800000000001
44,2017-01-09,6838.590000000001
45,2017-01-09,6796.800000000001
46,2017-01-09,6757.280000000001
47,2017-01-09,6754.370000000001
48,2017-01-09,6753.800000000001
49,2017-01-09,6747.990000000001
50,2017-01-10,6740.910000000001
51,2017-01-10,6740.27
52,2017-01-11,6727.490000000001
53,2017-01-12,6517.97
54,2017-01-17,6516.490000000001
55,2017-01-17,6505.9400000000005
56,2017-01-17,6500.740000000001
57,2017-01-19,7998.890000000001
58,2017-01-20,7933.890000000001
59,2017-01-20,7876.100000000001
60,2017-01-23,7856.9000000000015
61,2017-01-23,7850.130000000001
62,2017-01-23,7751.840000000001
63,2017-01-23,7722.560000000001
64,2017-01-24,7675.120000000002
65,2017-01-26,7675.690000000001
66,2017-01-26,7777.220000000001
67,2017-01-28,7768.220000000001
68,2017-01-28,7748.220000000001
69,2017-01-28,7742.220000000001
70,2017-01-30,7737.540000000001
71,2017-01-30,7636.010000000001
72,2017-01-31,7635.750000000001
73,2017-01-31,7634.390000000001
74,2017-01-31,7642.710000000001
75,2017-01-31,7643.220000000001
76,2017-02-01,7639.970000000001
77,2017-02-02,8922.500000000002
78,2017-02-03,8925.410000000002
79,2017-02-03,11925.410000000002
80,2017-02-03,8925.410000000002
81,2017-02-06,8906.180000000002
82,2017-02-06,8824.930000000002
83,2017-02-06,8785.390000000001
84,2017-02-07,8772.090000000002
85,2017-02-08,8735.730000000001
86,2017-02-14,8723.03
87,2017-02-16,10005.560000000001
88,2017-02-19,9990.560000000001
89,2017-02-20,9955.2
90,2017-02-27,9926.95
91,2017-02-27,10388.550000000001
92,2017-02-28,10397.78
93,2017-02-28,10398.210000000001
94,2017-03-01,10390.300000000001
95,2017-03-01,10394.130000000001
96,2017-03-01,9932.53
97,2017-03-02,11215.060000000001
98,2017-03-08,11208.070000000002
99,2017-03-15,11204.820000000002
100,2017-03-16,12487.350000000002
101,2017-03-20,12487.570000000002
102,2017-03-21,12481.580000000002
103,2017-03-22,12456.970000000001
104,2017-03-22,12453.720000000001
105,2017-03-24,12418.720000000001
106,2017-03-27,12410.810000000001
107,2017-03-27,12684.710000000001
108,2017-03-27,12675.890000000001
109,2017-03-27,12656.910000000002
110,2017-03-29,12383.010000000002
111,2017-03-29,12379.760000000002
112,2017-03-30,13662.290000000003
113,2017-03-31,13672.660000000003
114,2017-03-31,13673.390000000003
115,2017-04-01,13677.950000000003
116,2017-04-04,13675.520000000002
117,2017-04-04,13673.090000000002
118,2017-04-05,13669.840000000002
119,2017-04-05,13680.110000000002
120,2017-04-10,13682.540000000003
121,2017-04-11,13685.750000000002
122,2017-04-11,13672.210000000001
123,2017-04-12,14954.740000000002
124,2017-04-12,14951.490000000002
125,2017-04-17,14944.140000000001
126,2017-04-17,14934.53
127,2017-04-19,14901.44
128,2017-04-19,15121.18
129,2017-04-19,15119.68
130,2017-04-21,15097.4
131,2017-04-22,9975.86
132,2017-04-24,9932.880000000001
133,2017-04-24,9916.130000000001
134,2017-04-24,9911.84
135,2017-04-26,9992.51
136,2017-04-27,11275.04
137,2017-04-28,11194.37
138,2017-04-30,11204.410000000002
139,2017-04-30,11183.420000000002
140,2017-04-30,11184.270000000002
141,2017-05-01,11166.590000000002
142,2017-05-02,11164.880000000003
143,2017-05-03,11135.320000000003
144,2017-05-05,11123.540000000003
145,2017-05-09,11117.670000000002
146,2017-05-10,11102.990000000002
147,2017-05-11,11077.840000000002
148,2017-05-11,11087.840000000002
149,2017-05-22,11059.590000000002
150,2017-05-24,10984.590000000002
151,2017-05-26,11194.320000000002
152,2017-05-30,10984.590000000002
153,2017-05-31,10994.980000000001
154,2017-05-31,11321.390000000001
155,2017-05-31,11322.010000000002
156,2017-05-31,11299.730000000001
157,2017-06-01,11296.240000000002
158,2017-06-02,11274.750000000002
159,2017-06-02,11253.260000000002
160,2017-06-02,11231.770000000002
161,2017-06-07,11189.780000000002
162,2017-06-07,11147.790000000003
163,2017-06-07,11126.300000000003
164,2017-06-12,11110.530000000002
165,2017-06-22,11108.270000000002
166,2017-06-26,11060.820000000002
167,2017-06-26,11225.010000000002
168,2017-06-28,11060.820000000002
169,2017-06-30,11070.880000000001
170,2017-06-30,11071.490000000002
171,2017-07-13,11038.740000000002
172,2017-07-26,11209.690000000002
173,2017-07-28,11038.740000000002
174,2017-07-31,11039.350000000002
175,2017-07-31,11049.750000000002
176,2017-08-02,6049.750000000002
177,2017-08-02,11049.750000000002
178,2017-08-02,4675.720000000002
179,2017-08-02,4674.370000000002
180,2017-08-04,4656.370000000002
181,2017-08-07,4634.5700000000015
182,2017-08-11,4619.350000000001
183,2017-08-11,4551.5700000000015
184,2017-08-16,4542.670000000002
185,2017-08-16,4516.690000000002
186,2017-08-21,4508.210000000003
187,2017-08-23,4493.5300000000025
188,2017-08-24,4489.7400000000025
189,2017-08-28,4541.840000000003
190,2017-08-30,4489.7400000000025
191,2017-08-31,4488.060000000002
192,2017-08-31,4488.480000000002
193,2017-08-31,4496.4900000000025
194,2017-09-04,4491.4900000000025
195,2017-09-04,4484.0300000000025
196,2017-09-04,4458.430000000002
197,2017-09-04,4433.2800000000025
198,2017-09-06,4183.2800000000025
199,2017-09-13,4173.680000000002
200,2017-09-13,4166.840000000002
201,2017-09-15,4165.160000000002
202,2017-09-18,4136.910000000002
203,2017-09-21,5368.3200000000015
204,2017-09-25,5353.910000000002
205,2017-09-25,5377.970000000002
206,2017-09-26,5377.980000000002
207,2017-09-26,5607.820000000002
208,2017-09-27,5599.910000000003
209,2017-09-28,5598.230000000002
210,2017-09-28,5368.390000000002
211,2017-09-30,5376.340000000002
212,2017-09-30,5376.760000000002
213,2017-10-02,5368.310000000002
214,2017-10-02,5345.710000000002
215,2017-10-02,5335.960000000002
216,2017-10-03,5329.190000000001
217,2017-10-03,5308.5700000000015
218,2017-10-04,5511.030000000002
219,2017-10-05,6860.140000000001
220,2017-10-17,6848.840000000001
221,2017-10-19,6847.260000000001
222,2017-10-19,8196.37
223,2017-10-20,8188.460000000001
224,2017-10-23,8012.860000000001
225,2017-10-23,7977.6
226,2017-10-24,7727.6
227,2017-10-26,7838.740000000001
228,2017-10-30,7828.580000000001
229,2017-10-30,7828.080000000001
230,2017-10-30,7811.850000000001
231,2017-10-30,7700.710000000001
232,2017-10-31,7690.930000000001
233,2017-10-31,7699.710000000001
234,2017-10-31,7700.450000000001
235,2017-11-02,9049.560000000001
236,2017-11-03,9046.180000000002
237,2017-11-07,8546.180000000002
238,2017-11-07,8510.390000000001
239,2017-11-11,9712.850000000002
240,2017-11-12,12406.180000000002
241,2017-11-13,12156.180000000002
242,2017-11-15,10156.180000000002
243,2017-11-16,11505.290000000003
244,2017-11-17,11497.770000000002
245,2017-11-20,11463.880000000003
246,2017-11-20,11456.580000000004
247,2017-11-22,11449.280000000004
248,2017-11-25,11427.280000000004
249,2017-11-25,11449.280000000004
250,2017-11-25,11427.280000000004
251,2017-11-25,11104.830000000004
252,2017-11-27,11373.150000000003
253,2017-11-27,11123.150000000003
254,2017-11-27,11223.150000000003
255,2017-11-28,9223.150000000003
256,2017-11-29,8954.830000000004
257,2017-11-30,8955.970000000003
258,2017-11-30,8964.470000000003
259,2017-11-30,10313.580000000004
260,2017-12-04,10200.590000000004
261,2017-12-06,10180.440000000004
262,2017-12-07,10193.330000000004
263,2017-12-08,10178.450000000004
264,2017-12-08,10018.450000000004
265,2017-12-12,9979.540000000005
266,2017-12-14,11328.650000000005
267,2017-12-16,11278.650000000005
268,2017-12-18,11261.810000000005
269,2017-12-18,11238.510000000006
270,2017-12-21,14478.720000000005
271,2017-12-27,14933.510000000006
272,2017-12-28,16282.620000000006
273,2017-12-28,16756.420000000006
274,2017-12-29,16301.630000000005
275,2017-12-31,16310.420000000006
276,2017-12-31,16311.860000000006
277,2018-01-02,16336.860000000006
278,2018-01-02,16307.510000000006
279,2018-01-10,16306.380000000006
280,2018-01-11,16300.130000000006
281,2018-01-12,16271.880000000006
282,2018-01-17,16176.530000000006
283,2018-01-18,16174.850000000006
284,2018-01-22,16137.630000000006
285,2018-01-23,11137.630000000006
286,2018-01-23,11243.950000000006
287,2018-01-23,16243.950000000006
288,2018-01-24,19243.950000000004
289,2018-01-25,19242.040000000005
290,2018-01-26,19532.580000000005
291,2018-01-30,19242.040000000005
292,2018-01-30,19240.130000000005
293,2018-01-30,19202.130000000005
294,2018-01-31,19035.160000000003
295,2018-01-31,19045.570000000003
296,2018-01-31,19047.410000000003
297,2018-02-01,19040.110000000004
298,2018-02-01,19041.840000000004
299,2018-02-02,19038.860000000004
300,2018-02-02,18982.360000000004
301,2018-02-02,18962.230000000003
302,2018-02-05,18941.530000000002
303,2018-02-05,18927.780000000002
304,2018-02-06,18924.4
305,2018-02-06,18917.15
306,2018-02-09,18911.510000000002
307,2018-02-09,18798.510000000002
308,2018-02-12,18771.260000000002
309,2018-02-12,18731.030000000002
310,2018-02-12,18710.610000000004
311,2018-02-12,18701.860000000004
312,2018-02-13,18698.770000000004
313,2018-02-13,18679.710000000003
314,2018-02-23,18630.280000000002
315,2018-02-23,18560.33
316,2018-02-23,18345.56
317,2018-02-26,18678.11
318,2018-02-26,18669.55
319,2018-02-27,18649.55
320,2018-02-28,18662.52
321,2018-02-28,18663.99
322,2018-02-28,18331.440000000002
323,2018-03-01,18336.81
324,2018-03-03,18333.43
325,2018-03-06,18330.45
326,2018-03-08,18327.47
327,2018-03-08,18324.09
328,2018-03-11,18329.09
329,2018-03-12,18327.18
330,2018-03-20,18324.2
331,2018-03-26,17324.2
332,2018-03-28,16738.49
333,2018-03-31,16752.870000000003
334,2018-03-31,16754.410000000003
335,2018-04-01,16760.360000000004
336,2018-04-01,16774.360000000004
337,2018-04-06,16770.980000000003
338,2018-04-16,16713.770000000004
339,2018-04-23,16770.980000000003
340,2018-04-23,16894.840000000004
341,2018-04-24,16838.340000000004
342,2018-04-26,16985.710000000003
343,2018-04-26,16980.72
344,2018-04-26,16975.52
345,2018-04-26,16941.82
346,2018-04-30,16943.16
347,2018-04-30,16957.1
348,2018-04-30,16809.73
349,2018-05-01,16815.489999999998
350,2018-05-01,16494.329999999998
351,2018-05-02,16444.62
352,2018-05-03,16439.62
353,2018-05-07,16421.37
354,2018-05-09,16414.12
355,2018-05-14,16409.129999999997
356,2018-05-22,16404.309999999998
357,2018-05-24,16402.05
358,2018-05-24,16395.2
359,2018-05-25,16393.41
360,2018-05-26,16366.41
361,2018-05-27,16041.32
362,2018-05-28,16574.79
363,2018-05-30,17422.33
364,2018-05-30,16888.86
365,2018-05-30,20167.07
366,2018-05-30,20159.37
367,2018-05-30,20146.8
368,2018-05-31,20161.219999999998
369,2018-05-31,20162.62
370,2018-06-01,20168.57
371,2018-06-04,20160.67
372,2018-06-04,20149.989999999998
373,2018-06-04,20124.32
374,2018-06-05,20104.829999999998
375,2018-06-11,20099.839999999997
376,2018-06-11,20192.539999999997
377,2018-06-12,20189.149999999998
378,2018-06-13,20003.659999999996
379,2018-06-18,19997.459999999995
380,2018-06-18,19977.289999999997
381,2018-06-18,19962.899999999998
382,2018-06-18,19956.359999999997
383,2018-06-18,19930.359999999997
384,2018-06-18,19918.659999999996
385,2018-06-19,19913.409999999996
386,2018-06-25,19898.969999999998
387,2018-06-25,19890.289999999997
388,2018-06-25,19882.229999999996
389,2018-06-25,19862.229999999996
390,2018-06-25,19856.139999999996
391,2018-06-25,19850.719999999998
392,2018-06-26,19844.92
393,2018-06-26,19972.879999999997
394,2018-06-26,19980.87
395,2018-06-26,19972.879999999997
396,2018-06-26,19928.6
397,2018-06-26,19908.289999999997
398,2018-06-26,19877.03
399,2018-06-28,19749.07
400,2018-06-28,22743.35
401,2018-06-28,22732.17
402,2018-06-29,22725.399999999998
403,2018-06-30,22739.37
404,2018-06-30,22741.149999999998
405,2018-07-02,22734.379999999997
406,2018-07-02,22673.199999999997
407,2018-07-02,21759.03
408,2018-07-05,21909.03
409,2018-07-09,21892.149999999998
410,2018-07-09,21920.149999999998
411,2018-07-09,21891.899999999998
412,2018-07-12,21880.719999999998
413,2018-07-13,20880.719999999998
414,2018-07-13,20873.949999999997
415,2018-07-16,20869.199999999997
416,2018-07-16,20941.449999999997
417,2018-07-22,15472.419999999998
418,2018-07-22,20941.449999999997
419,2018-07-22,16591.449999999997
420,2018-07-23,16436.579999999998
421,2018-07-23,15582.309999999998
422,2018-07-23,15520.859999999997
423,2018-07-23,15509.569999999996
424,2018-07-23,15261.749999999996
425,2018-07-23,15250.459999999995
426,2018-07-24,11050.459999999995
427,2018-07-26,11070.769999999995
428,2018-07-26,12420.059999999994
429,2018-07-28,8920.059999999994
430,2018-07-30,7570.769999999994
431,2018-07-30,10722.479999999994
432,2018-07-31,10735.279999999993
433,2018-07-31,10737.249999999993
434,2018-08-02,10718.049999999992
435,2018-08-07,11632.219999999992
436,2018-08-13,6170.939999999992
437,2018-08-13,6168.849999999992
438,2018-08-14,6157.6999999999925
439,2018-08-14,6152.059999999992
440,2018-08-14,6241.109999999992
441,2018-08-16,6232.649999999992
442,2018-08-20,6222.9899999999925
443,2018-08-20,6214.229999999992
444,2018-08-20,6165.689999999992
445,2018-08-20,6159.149999999992
446,2018-08-21,5769.309999999992
447,2018-08-24,6017.129999999992
448,2018-08-24,5921.119999999992
449,2018-08-27,5864.619999999992
450,2018-08-27,6913.409999999992
451,2018-08-28,6885.159999999992
452,2018-08-29,6874.449999999992
453,2018-08-29,5825.659999999992
454,2018-08-30,5817.059999999991
455,2018-08-30,9101.229999999992
456,2018-08-31,9111.859999999991
457,2018-08-31,9112.90999999999
458,2018-08-31,9085.81999999999
459,2018-09-03,9068.939999999991
460,2018-09-04,9051.939999999991
461,2018-09-07,9038.549999999992
462,2018-09-10,9029.729999999992
463,2018-09-12,9022.229999999992
464,2018-09-17,9002.229999999992
465,2018-09-18,8965.909999999993
466,2018-09-18,8984.909999999993
467,2018-09-19,8977.519999999993
468,2018-09-24,8962.519999999993
469,2018-09-26,9071.049999999994
470,2018-09-27,9042.049999999994
471,2018-09-28,8933.519999999993
472,2018-09-28,8923.329999999993
473,2018-09-30,8933.629999999992
474,2018-09-30,8934.669999999993
475,2018-10-01,8929.369999999994
476,2018-10-02,8949.369999999994
477,2018-10-04,8933.339999999993
478,2018-10-08,8927.159999999993
479,2018-10-08,8923.139999999992
480,2018-10-08,8915.069999999992
481,2018-10-15,8901.869999999992
482,2018-10-22,8896.689999999991
483,2018-10-22,8884.029999999992
484,2018-10-23,8821.419999999991
485,2018-10-24,8785.419999999991
486,2018-10-24,8778.64999999999
487,2018-10-26,8883.589999999991
488,2018-10-28,8873.21999999999
489,2018-10-30,8768.27999999999
490,2018-10-31,8778.92999999999
491,2018-10-31,8779.989999999989
492,2018-11-02,8944.329999999989
493,2018-11-02,8928.539999999988
494,2018-11-04,8927.539999999988
495,2018-11-04,8847.539999999988
496,2018-11-04,8846.039999999988
497,2018-11-05,8839.259999999987
498,2018-11-05,8827.159999999987
499,2018-11-05,8802.309999999987
